q 131 930
q 749 724
q 447 272
q 930 98
q 270 614
q 721 146
q 67 876
q 744 79
q 860 711
q 360 25
q 427 510
q 812 241
q 864 383
q 824 94
q 194 5
q 626 610
q 768 659
q 293 235
q 911 156
q 766 427
q 503 283
q 235 675
q 634 543
q 383 188
q 809 244
q 814 980
q 738 300
q 655 673
q 569 883
q 202 406
q 212 780
q 239 824
q 888 319
q 335 404
q 525 928
q 622 276
q 123 687
q 657 303
q 454 555
q 368 182
q 747 49
q 608 999
q 577 578
q 464 407
q 709 158
q 947 364
q 902 764
q 890 460
q 87 278
q 705 912
q 818 413
q 283 156
q 963 263
q 214 244
q 871 776
q 285 38
q 819 288
q 246 605
q 458 27
q 935 970
q 828 946
q 346 866
q 712 998
q 264 972
q 279 946
q 495 24
q 895 81
q 875 582
q 739 903
q 588 948
q 748 442
q 588 958
q 760 911
q 707 818
q 517 454
q 60 884
q 717 831
q 980 880
q 865 947
q 552 822
q 400 311
q 168 168
q 291 151
q 995 631
q 782 789
q 761 727
q 765 758
q 169 51
q 299 33
q 492 298
q 849 563
q 838 65
q 79 379
q 683 780
q 913 300
q 413 409
q 62 63
q 440 421
q 912 149
q 664 865
q 835 278
q 204 981
q 306 257
q 776 410
q 547 959
q 924 877
q 122 379
q 888 214
q 254 754
q 67 37
q 883 577
q 741 985
q 828 550
q 867 499
q 92 1
q 978 118
q 201 78
q 533 786
q 635 591
q 618 618
q 479 572
q 600 694
q 100 640
q 225 372
q 27 951
q 806 275
q 755 482
q 89 166
q 538 119
q 325 527
q 954 595
q 322 26
q 18 233
q 381 991
q 121 668
q 512 686
q 540 954
q 891 148
q 426 152
q 744 468
q 52 297
q 598 107
q 843 105
q 459 835
q 874 259
q 627 152
q 861 551
q 937 816
q 222 82
q 534 876
q 526 339
q 259 263
q 473 1000
q 521 561
q 406 133
q 202 582
q 733 115
q 904 932
q 640 145
q 68 451
q 660 762
q 712 27
q 159 729
q 66 881
q 80 666
q 221 31
q 934 57
q 95 415
q 553 130
