c 1 23840 73
c 1 21046 48
c 1 31 66
c 1 29 19
c 1 19571 57
c 1 4845 89
c 1 774 45
c 1 25586 38
c 1 12513 32
c 1 31860 40
c 1 397 90
c 1 27591 21
c 1 491 96
c 1 302 87
c 1 789 84
c 1 8507 10
c 1 6543 6
c 1 32813 54
c 1 8009 19
c 1 25836 95
c 1 11675 56
c 1 1566 48
c 1 2575 18
c 1 3322 55
c 1 5139 25
c 1 2428 89
c 1 980 75
c 1 494 71
c 1 3735 25
c 1 6467 68
c 1 26569 31
c 1 39064 12
c 1 13140 13
c 1 12502 77
c 1 4016 31
c 1 10749 69
c 1 15633 41
c 1 19952 41
c 1 3150 62
c 1 610 50
c 1 1954 2
c 1 40 84
c 1 26661 99
c 1 26367 71
c 1 6810 49
c 1 40258 77
c 1 40966 73
c 1 14123 95
c 1 21924 94
c 1 220 61
c 1 20385 26
c 1 6254 25
c 1 14989 22
c 1 1576 41
c 1 12685 72
c 1 6449 71
c 1 25335 78
c 1 891 27
c 1 7882 18
c 1 21880 24
c 1 299 59
c 1 21170 75
c 1 25208 52
c 1 37 85
c 1 25806 31
c 1 9228 36
c 1 226 67
c 1 11 33
c 1 6251 21
c 1 26367 65
c 1 10941 39
c 1 421 82
c 1 3907 60
c 1 19154 65
c 1 2593 68
c 1 53 18
c 1 34486 81
c 1 8808 92
c 1 442 14
c 1 26715 76
c 1 25 9
c 1 10229 48
c 1 98 17
c 1 4803 11
c 1 20488 92
c 1 21437 62
c 1 391 93
c 1 2399 43
c 1 6452 59
c 1 3247 9
c 1 286 78
c 1 256 37
c 1 7692 32
c 1 1965 25
c 1 6258 50
c 1 25224 24
c 1 25025 21
c 1 26226 35
c 1 40680 3
c 1 977 72
c 1 25783 82
c 1 3236 73
c 1 28 99
c 1 23544 75
c 1 29322 96
c 1 464 46
c 1 7964 36
c 1 15798 68
c 1 25788 9
c 1 61 65
c 1 3910 38
c 1 8228 36
c 1 6495 41
c 1 26 85
c 1 3931 31
c 1 13383 30
c 1 19177 98
c 1 1587 73
c 1 16 73
c 1 31446 31
c 1 2347 35
c 1 788 62
c 1 199 49
c 1 25686 7
c 1 1385 70
c 1 19027 73
c 1 1660 18
c 1 2043 47
c 1 4004 71
c 1 13135 60
c 1 7144 70
c 1 8600 49
c 1 6311 79
c 1 866 21
c 1 3361 34
c 1 76 49
c 1 25840 94
c 1 248 98
c 1 3129 47
c 1 391 99
c 1 4304 33
c 1 1597 43
c 1 32066 69
c 2 2350 52
c 2 16798 31
c 2 39953 51
c 2 26966 21
c 2 2667 93
c 2 1972 39
c 2 6376 41
c 2 18776 78
c 2 3955 23
c 2 23450 13
c 2 41120 76
c 2 26714 26
c 2 10157 61
c 2 25410 71
c 2 27490 80
c 2 20314 35
c 2 13800 2
c 2 2197 33
